ds,yhat,yhat_lower,yhat_upper
2023-02-05,17959.33114296983,-11214.203739174212,48511.76269521354
2023-02-06,17645.96626250215,-10269.93847054999,44976.59860358651
2023-02-07,17239.475311221348,-9637.710476850014,47440.95588658053
2023-02-08,16891.725400519987,-13716.649837208377,44195.92134854501
2023-02-09,14493.866349933338,-12717.464166672788,45185.26017134501
2023-02-10,12073.289023931653,-18425.623851251858,40377.36416133981
2023-02-11,11405.268189059585,-16623.6311518943,40625.99271829811
2023-02-12,8923.894210799346,-20923.89935742445,36542.70042074229
2023-02-13,8714.142403554037,-19089.945587437283,34887.95465492143
2023-02-14,8696.000705994285,-19996.55558363511,36834.29915188744
2023-02-15,9025.636594921061,-17161.334050701957,37671.90814172507
2023-02-16,7591.352566332302,-18575.282270530297,39206.55519903014
2023-02-17,6410.45875709614,-24482.773851871803,36647.23753802818
2023-02-18,7241.010498783206,-21311.2031867598,38323.05498531121
2023-02-19,6493.014842780886,-19073.475025652828,34665.27193680057
2023-02-20,8220.949757927745,-20254.6528798799,36126.510509914806
2023-02-21,10308.50712778996,-18005.34015792294,36772.25072168836
2023-02-22,12870.52660943783,-16338.367867242314,43814.77206124152
2023-02-23,13749.851890975287,-15450.4470446241,39932.658002765034
2023-02-24,14915.216534058589,-14181.184650443429,43873.26399072461
2023-02-25,18074.08303834605,-10770.536453116034,46174.812883711005
2023-02-26,19585.0123699458,-9157.106477566442,48846.316039524456
2023-02-27,23451.37938150677,-5592.921047718258,52942.946819768054
2023-02-28,27507.31592847511,-1102.556834860061,55921.945270747696
2023-03-01,31820.81921791411,2873.436801771664,60983.08257399164
2023-03-02,34191.7279375885,4774.4766322759,62972.04376734212
2023-03-03,36550.645639566166,8525.02291584876,66494.30101564497
2023-03-04,40572.709286541736,12911.439779290064,69775.09737448012
2023-03-05,42590.75711492746,14046.410559401394,73317.70129551436
2023-03-06,46589.69138122942,19164.36156517553,74757.56488146468
2023-03-07,50392.90166592429,19053.02642886587,75952.13157068746
2023-03-08,54065.674278219165,25961.798408499177,81287.52400218345
2023-03-09,55413.28275324885,25806.83537550667,83940.29046960737
2023-03-10,56379.83595687883,25713.202251565923,85925.25765382356
2023-03-11,58661.78357649116,31416.422305029886,88728.52616399134
2023-03-12,58620.63929731621,31016.14073827911,87894.04847672119
2023-03-13,60276.72830774928,30820.744050824414,88711.5016629176
2023-03-14,61494.83969922134,34594.02450873638,91476.25456608381
2023-03-15,62386.728113853496,33383.505443453556,89981.34326613996
2023-03-16,60808.18170641425,34142.10641347009,90982.68074095593
2023-03-17,58756.75775284574,30463.12280278868,86048.41576835314
2023-03-18,57984.11244135429,29625.0879376373,86786.3873747043
2023-03-19,54907.51365571739,27576.013326370146,83159.78929557266
2023-03-20,53602.37211020742,24802.541184920494,80517.55891517989
2023-03-21,51986.70042377081,20578.935875953848,80989.13473780255
2023-03-22,50222.472594342915,20190.380326432052,79925.11911084769
2023-03-23,46211.627601084976,15981.982123825304,73703.88680146397
2023-03-24,41992.84300397191,12257.469941762425,69653.16393743282
